title,genre,description
Inception,"Action, Sci-Fi","A thief who steals corporate secrets through dream-sharing technology."
The Dark Knight,"Action, Drama","Batman faces the Joker, a criminal mastermind."
Interstellar,"Adventure, Drama, Sci-Fi","A team of explorers travel through a wormhole in space."
The Matrix,"Action, Sci-Fi","A hacker discovers the reality is a simulation."
Titanic,"Romance, Drama","A young couple fall in love aboard the Titanic."
Avatar,"Action, Adventure, Fantasy","A paraplegic Marine explores Pandora and its alien culture."
The Godfather,"Crime, Drama","The aging patriarch of an organized crime dynasty transfers control to his reluctant son."
Pulp Fiction,"Crime, Drama","The lives of two mob hitmen, a boxer, and a pair of diner bandits intertwine."
Forrest Gump,"Drama, Romance","The presidencies of Kennedy and Johnson through the eyes of an Alabama man."
The Shawshank Redemption,"Drama","Two imprisoned men bond over a number of years."